,IRIS,LIBCOM,TYP_IRIS,C16_PMEN_MENSFAM,C16_PMEN_MENHSEUL,C16_PMEN_MENFSEUL,C16_PMEN_MENCOUPSENF,C16_PMEN_MENCOUPAENF,C16_PMEN_MENFAMMONO,C16_PMEN_CS1,C16_PMEN_CS2,C16_PMEN_CS3,C16_PMEN_CS4,C16_PMEN_CS5,C16_PMEN_CS6,C16_PMEN_CS7,C16_PMEN_CS8
67,010530501,Bourg-en-Bresse,H,29.98743507082458,104.72380770155296,289.960089179576,470.7341504653024,618.4076060088059,164.2440885619325,0.0,26.51644821850114,191.35064343507548,274.8960497537791,313.637158321689,342.4086687389912,478.25708908952765,50.99111943043083
68,010530502,Bourg-en-Bresse,H,82.48226277129125,181.23175760139296,365.348616409731,660.317647125881,1343.7199273715137,247.1677219252528,0.0,185.97347931188065,280.65070612523,411.8629308107085,467.6089345757621,632.8303211213539,827.5480039279838,73.7935573321437
69,010530503,Bourg-en-Bresse,H,51.83142074534796,292.7430061561471,272.1607640214157,429.0048706548824,1182.0177033054104,296.408748045081,0.0,110.388116305148,68.97587529276444,220.2033414187437,451.6691595015444,875.1401597955797,571.2808465608533,226.50901405365076
70,010530601,Bourg-en-Bresse,H,100.22269961130924,185.8263980962492,442.2755084745478,391.480659547489,1239.3942437243134,225.4321312226466,0.0,128.35478259761314,44.57081095223975,273.56966693143414,371.30387883686143,876.4987551429556,659.3646064717842,230.9691397436669
71,010530602,Bourg-en-Bresse,H,73.27647647159199,135.1146424353816,266.328600048724,298.90423086861074,809.7093368022328,308.5581756631652,0.0,98.28965741482034,43.22514775436876,253.92489798025167,265.66647251379686,590.3894195607703,502.21211576021983,138.18375130547852
72,010530603,Bourg-en-Bresse,H,51.771090771856585,110.28250436728288,222.04842993387945,175.9425522392196,774.7865708115247,262.9264778925369,0.0,40.08460064891381,19.25488887693304,132.1078119854988,237.53547532316333,714.3769370595722,308.1006559461862,146.29725617603268
73,010530604,Bourg-en-Bresse,H,39.79955234269985,99.39116658311865,86.09782011039053,468.7905367350554,498.2781193658869,83.43148176070147,0.0,77.060311866225,158.26160548849444,194.4685854508772,201.40585045844355,173.0290547148046,446.6981239690981,24.865144949910047
74,010530701,Bourg-en-Bresse,H,53.39138951172261,179.6444625392872,187.7315635962634,663.0196699356408,1311.643425469715,245.56612455109598,22.92391039899958,122.57495270312523,219.6892753411286,421.11885014372194,672.9580665610229,522.1035015098068,522.5878570335403,137.0402219123795
155,011430101,Divonne-les-Bains,H,29.44029458179908,328.74995616342306,441.6044187269862,868.4886901630729,1496.5483079081198,274.7760827634581,0.0,176.64176749079448,1226.678940908295,559.3655970541826,441.6044187269862,328.74995616342306,637.8730492723134,68.69402069086452
156,011430102,Divonne-les-Bains,H,29.44029458179908,142.2947571453622,171.7350517271613,578.9924601087152,1589.7759074171504,161.92162019989496,9.81343152726636,137.38804138172904,1054.9438891811335,421.9775556724535,309.1230931088903,220.8022093634931,480.8581448360516,39.25372610906544
157,011430103,Divonne-les-Bains,H,93.22759950903044,191.36191478169405,260.05593547255853,637.8730492723134,1712.4438015079795,328.749956163423,0.0,230.6156408907595,1020.5968788357014,667.3133438541125,510.2984394178507,274.7760827634581,397.4439768542876,122.6678940908295
173,011600101,Ferney-Voltaire,H,87.68617021276596,282.54432624113474,345.8732269503546,755.0753546099291,1456.5647163120568,472.53102836879435,0.0,24.3572695035461,828.1471631205674,725.8466312056738,1032.7482269503546,331.258865248227,389.7163120567376,68.20035460992908
174,011600102,Ferney-Voltaire,H,38.97163120567376,263.0585106382979,360.4875886524823,647.9033687943263,959.6764184397164,302.03014184397165,0.0,155.88652482269504,686.875,457.9166666666667,511.5026595744681,302.03014184397165,360.4875886524823,97.4290780141844
175,011600103,Ferney-Voltaire,H,58.45744680851064,375.1019503546099,365.4875886524823,613.8031914893617,1383.4929078014184,774.561170212766,0.0,92.68617021276592,574.831560283688,711.2322695035461,886.604609929078,750.2039007092199,394.5877659574468,160.75797872340425
184,011730101,Gex,H,84.48477698166678,329.3418149367772,346.905320597105,933.0193199425406,1583.0024511030572,424.8156388364576,0.0,177.85912333837803,579.1014670213716,902.8046604979536,766.940190933086,798.7827255570314,393.3156717757501,82.76548327403373
185,011730102,Gex,H,133.0422253289749,292.924937534993,327.68262152829334,971.8586304399496,2436.1403971279183,489.3337485442894,9.26683572417033,207.8533495305107,815.1107529047601,1118.667011913685,1200.7965265316311,795.4607144071476,414.4986025513693,89.32876694114415
186,011730103,Gex,H,88.77652067476374,326.7225301523921,287.2759983934856,1036.6399593194988,1638.957832514611,349.5973711877364,0.0,150.8220268874371,841.1994973248842,930.1047623080556,834.4931530353459,613.8286434809372,276.6132589114745,80.90887029435328
204,011940101,Jassans-Riottier,H,71.05288907587392,202.46013316977505,362.2970804090712,975.8852328571588,1997.535015114164,492.5709069713293,0.0,352.8136440013671,365.09534827278,901.6729532850584,831.5198332373102,770.6821023116066,801.3511620950168,78.6662143942335
205,011940102,Jassans-Riottier,H,47.01014590451196,117.21376130881714,79.91847361964805,472.4276469900723,1223.7823003586177,244.46814887317583,0.0,196.42925622267407,281.7539156488842,611.5013296581693,333.93871373261044,256.7778801718665,442.04127620792497,62.37810541271321
