5900,2,Saturday,21,19,13,Saturday,21,26,3,False,-73.99447631835938,40.70298385620117,-73.99411010742188,40.68169403076172,1,1.59,7.5
5901,2,Saturday,21,19,36,Saturday,21,29,9,False,-73.92547607421875,40.75666046142578,-73.95024871826172,40.76126098632813,1,1.71,9.0
5902,2,Saturday,21,19,51,Saturday,21,39,40,False,-73.95135498046875,40.71400451660156,-73.91229248046875,40.686119079589844,5,3.11,15.0
5903,2,Saturday,21,20,20,Saturday,21,36,24,False,-73.95008850097656,40.74419021606445,-73.96321868896484,40.6855583190918,1,4.82,17.0
5904,1,Saturday,21,20,52,Saturday,21,31,49,False,-73.91561889648438,40.74304580688477,-73.87110137939453,40.76092529296875,1,4.4,14.5
5905,2,Saturday,21,22,47,Saturday,21,32,46,False,-73.94535827636719,40.7459716796875,-73.9159164428711,40.77652359008789,1,3.01,11.0
5906,2,Saturday,21,25,25,Saturday,21,37,5,False,-73.90900421142578,40.6843376159668,-73.94971466064453,40.684078216552734,5,2.48,10.5
5907,2,Saturday,21,25,48,Saturday,21,44,29,False,-73.94818115234375,40.74528503417969,-73.98626708984375,40.68822860717773,5,6.16,20.5
5908,1,Saturday,21,26,47,Saturday,21,34,17,False,-73.99421691894531,40.70307540893555,-73.98310089111328,40.69671630859375,5,1.0,7.0
5909,2,Saturday,21,27,16,Saturday,21,33,15,False,-73.84230041503906,40.72039031982422,-73.84904479980469,40.731632232666016,5,1.54,7.0
5910,2,Saturday,21,28,18,Saturday,21,44,31,False,-73.99214172363281,40.68420028686523,-73.98624420166016,40.72622680664063,1,5.33,18.0
5911,2,Saturday,21,29,43,Saturday,22,8,15,False,-73.94844818115234,40.74496841430664,-73.9898910522461,40.76238250732422,1,9.3,34.5
5912,1,Saturday,21,29,47,Saturday,21,48,41,False,-73.96346282958984,40.80355453491211,-73.91969299316406,40.8289680480957,3,3.6,15.5
5913,2,Saturday,21,32,13,Saturday,21,41,56,False,-73.92450714111328,40.73977661132813,-73.95793914794922,40.71710205078125,2,2.91,11.5
5914,2,Saturday,21,33,6,Saturday,21,47,22,False,-73.94783020019531,40.76399230957031,-73.96505737304688,40.77516555786133,1,4.35,15.0
5915,2,Saturday,21,33,48,Saturday,21,40,42,False,-73.86739349365234,40.845008850097656,-73.88897705078125,40.85134887695313,1,1.62,7.5
5916,2,Saturday,21,36,43,Saturday,21,47,8,False,-73.91297149658203,40.77431869506836,-73.93093872070312,40.76377868652344,1,1.95,9.5
5917,2,Saturday,21,38,12,Saturday,21,51,51,False,-73.9214859008789,40.76679611206055,-73.97883605957031,40.7404670715332,2,4.63,15.5
5918,2,Saturday,21,38,52,Saturday,21,53,50,False,-73.95932006835938,40.81670379638672,-73.97887420654297,40.78326034545898,1,2.7,13.0
5919,2,Saturday,21,41,48,Saturday,22,8,25,False,-73.84646606445312,40.75456619262695,-73.98347473144531,40.76664352416992,1,12.93,37.0
5920,2,Saturday,21,41,56,Saturday,21,49,26,False,-73.8462905883789,40.75446701049805,-73.83332824707031,40.78176879882813,2,3.38,11.5
5921,2,Saturday,21,43,15,Saturday,21,52,3,False,-73.95785522460938,40.71770477294922,-73.96822357177734,40.707763671875,2,1.72,8.5
5922,2,Saturday,21,43,43,Saturday,22,9,0,False,-73.9624252319336,40.71002197265625,-73.98020935058594,40.75148391723633,5,5.32,21.0
5923,1,Saturday,21,44,23,Saturday,22,1,33,False,-73.99444580078125,40.70289993286133,-73.98568725585938,40.73152542114258,2,5.1,18.0
5924,2,Saturday,21,44,46,Saturday,22,12,34,False,-73.91985321044922,40.74309158325195,-73.9189682006836,40.76574325561523,2,1.06,6.5
5925,2,Saturday,21,44,46,Saturday,22,4,52,False,-73.91985321044922,40.74309158325195,-73.91099548339844,40.77593612670898,2,3.59,15.5
5926,2,Saturday,21,46,25,Saturday,21,55,0,False,-73.95600891113281,40.69403076171875,-73.96661376953125,40.71504211425781,1,1.82,8.5
5927,2,Saturday,21,47,54,Saturday,22,1,7,False,-73.94725799560547,40.808570861816406,-73.99209594726562,40.77067565917969,5,4.98,16.5
5928,2,Saturday,21,47,58,Saturday,21,52,38,False,-73.83002471923828,40.71373748779297,-73.83526611328125,40.70736312866211,5,1.12,5.5
5929,2,Saturday,21,50,19,Saturday,22,39,59,False,-73.94969940185547,40.6840705871582,-73.7835464477539,40.68802261352539,5,12.36,39.5
5930,2,Saturday,21,53,41,Saturday,22,0,35,False,-73.91853332519531,40.86855697631836,-73.93220520019531,40.85736083984375,1,1.14,7.0
5931,2,Saturday,21,54,30,Saturday,22,32,1,False,-73.968505859375,40.70962524414063,-73.9822006225586,40.76476287841797,2,7.75,31.0
5932,2,Saturday,21,55,24,Saturday,22,6,55,False,-73.93587493896484,40.80384063720703,-73.96505737304688,40.80645751953125,5,2.11,10.0
5933,2,Saturday,21,56,56,Saturday,22,18,48,False,-73.94050598144531,40.71175384521485,-73.98069763183594,40.7377815246582,5,4.17,17.5
5934,2,Saturday,21,57,27,Saturday,22,5,5,False,-73.84423065185547,40.721378326416016,-73.8189697265625,40.70912170410156,1,2.35,9.0
5935,2,Saturday,21,57,37,Saturday,22,12,51,False,-73.95005798339844,40.72807312011719,-73.9772720336914,40.76438903808594,5,4.72,17.0
5936,2,Saturday,21,57,44,Saturday,22,8,18,False,-73.86703491210938,40.84300231933594,-73.88075256347656,40.82756042480469,1,1.94,7.0
5937,2,Saturday,22,1,3,Saturday,22,8,19,False,-73.99433898925781,40.70301055908203,-74.00302124023438,40.70628356933594,1,2.19,9.0
