,IRIS,LIBCOM,TYP_IRIS,P16_POP0014,P16_POP1529,P16_POP3044,P16_POP4559,P16_POP6074,P16_POP75P,C16_POP15P_CS1,C16_POP15P_CS2,C16_POP15P_CS3,C16_POP15P_CS4,C16_POP15P_CS5,C16_POP15P_CS6,C16_POP15P_CS7,C16_POP15P_CS8
38,010340102,Belley,H,599.0,561.0,595.0,710.0,619.0,560.0,0.0,85.0,160.0,315.0,540.0,445.0,1020.0,390.0
39,010340103,Belley,H,556.0,351.0,399.0,418.0,325.0,314.0,0.0,55.0,45.0,105.0,255.0,385.0,600.0,355.0
57,010530101,Bourg-en-Bresse,H,180.1949235881785,763.2279863045527,280.05175318708774,296.9646613351051,160.15992618483764,255.90977266417124,0.0,44.10534218509001,141.34951007200235,283.7921615333637,299.0834177220006,186.8121804426678,375.9203565971765,425.2511311234535
58,010530102,Bourg-en-Bresse,H,201.34358235148613,481.7397974049237,273.5728827960728,340.2285223586609,323.9655567383721,307.1372876909352,0.0,63.20723984332856,88.38335357760043,305.9179724693786,226.8582311357081,194.3141332331876,582.5612378867147,265.40187884304663
59,010530103,Bourg-en-Bresse,H,248.02276428337325,498.7698520633427,353.25696646102074,269.20207700647705,257.1685869219441,370.30447713274776,0.0,56.90827448094045,211.8259234155921,228.93481896992785,223.72737270728888,146.9424508972345,561.4805500402531,327.3641278685604
60,010530201,Bourg-en-Bresse,H,340.4903939533084,459.0158305140584,414.4743780612339,369.4930339852241,391.4509060936512,288.3734469733441,0.0,36.98584863278207,156.1243534553946,276.7826819782905,346.88673953855016,217.4672213871213,633.5644431491086,253.9897054520059
61,010530202,Bourg-en-Bresse,H,379.2075412926998,511.5808678541597,447.904644179118,348.43182350221366,263.853625101722,187.45087918196978,0.0,41.32305079554491,121.79179173576476,265.7435197226617,288.6358485399106,289.2253284420533,404.2011611049391,348.3011394783086
62,010530203,Bourg-en-Bresse,H,335.70717245647734,421.7173656043768,329.3687693396148,417.40767910217,305.25120111432227,146.1085045284574,0.0,24.20447232096626,98.8220086836875,263.65125798660887,288.4371248634611,284.4994964424768,404.3870902664629,256.7486220733711
63,010530301,Bourg-en-Bresse,H,321.58928635901947,829.1992034023552,467.4202887845011,498.02814255803946,336.71098733227126,237.4622795989845,0.0,73.14602639541339,247.3124488719024,457.46699195522814,356.0468166190768,301.2098724684221,495.0190771099974,457.24374920668953
64,010530302,Bourg-en-Bresse,H,601.7626290371559,719.1332253193984,658.1725234967299,626.7612994472536,423.0940296602459,262.0055773230852,0.0,68.39641642808529,205.65025532570783,432.9940907528449,487.9291073969707,413.9018103610204,588.2948618380378,507.8468780727382
