,IRIS,LIBCOM,TYP_IRIS,P16_POP0014,P16_POP1529,P16_POP3044,P16_POP4559,P16_POP6074,P16_POP75P,C16_POP15P_CS1,C16_POP15P_CS2,C16_POP15P_CS3,C16_POP15P_CS4,C16_POP15P_CS5,C16_POP15P_CS6,C16_POP15P_CS7,C16_POP15P_CS8
5286,130280112,La Ciotat,H,262.68917206051304,210.08844705819604,315.500134593231,282.7861266737345,386.64658075855607,476.1255957479357,0.0,56.13269765079184,128.2783215892662,208.12628733999023,200.18951431871395,107.23888037389428,733.9178505192659,239.3854667070169
5287,130280113,La Ciotat,H,417.2498280168859,335.50777557515585,385.2613953618888,589.7946044033202,527.0525447172779,326.49938270167036,0.999990791511545,85.86412191836997,206.57731523973885,253.4660064125132,301.4017752554038,120.30514004908946,734.1801499652527,461.3212031274337
5288,130280114,La Ciotat,H,285.676557446799,329.99009799345924,289.6657507653492,533.3905718895692,379.15531063673865,188.48173991251807,0.0,73.13398382860724,129.32601088465367,218.16850121428345,253.5606817255421,161.5833001466756,508.4535428327556,373.5600413486856
5292,130320101,Éguilles,H,311.53846153846155,291.7582417582417,327.3626373626374,419.3406593406593,399.57142857142856,151.3186813186813,0.0,98.9010989010988,232.41758241758217,242.3076923076921,207.69230769230748,103.84615384615374,450.0,267.0329670329668
5293,130320102,Éguilles,H,464.8351648351649,391.2229853479853,472.3218864468865,706.193070818071,633.0177045177047,380.7938034188037,0.0,113.73626373626362,459.89010989010944,365.9340659340656,242.3076923076921,103.84615384615374,830.8791208791201,467.6007326007329
5294,130320103,Éguilles,H,487.5824175824176,492.5274725274725,614.1758241758241,549.8901098901099,450.989010989011,219.56043956043956,9.89010989010988,93.95604395604386,454.9450549450545,425.27472527472486,311.5384615384612,84.06593406593397,583.5164835164829,326.37362637362605
5297,130350101,Eyguières,H,642.8505829938174,515.1511070815347,732.3546187103987,859.9421661669699,565.6054057448694,223.54128621647993,77.8612214555856,157.8693377463218,326.8899649465488,532.4199748550193,427.56009694615966,425.93056317482535,620.1308931194297,335.4071236608758
5298,130350102,Eyguières,H,634.7087822148561,557.8415677900151,717.5937327155415,761.6524254356638,588.2108445994681,312.5474803303693,36.12088879800183,108.10427527990846,362.49357046440144,585.3917107023673,465.7361171547798,321.7843251911138,696.9863767497716,395.8204851892749
5300,130370101,La Fare-les-Oliviers,H,515.2238146867493,323.0902585605218,539.1210231601606,523.8268097371773,429.1938641824683,151.98624589089636,0.0,76.47106711491632,281.98705998625394,396.6936606586284,210.29543456601988,143.3832508404681,568.7535616671902,272.4281765968894
5301,130370102,La Fare-les-Oliviers,H,676.7689439670102,526.6944747539867,783.8284379278931,584.047775090174,454.1024127706921,304.3210297657899,33.45609186277589,105.14771728300994,248.53096812347803,563.9741199725079,463.6058443841802,224.63375965006668,638.9928519453007,348.8992437118057
5302,130370103,La Fare-les-Oliviers,H,475.07650445141815,368.9728988294716,551.5475715663346,486.5471645186556,361.32579211798,231.3249780226221,4.77944169468227,71.69162542023405,291.5459433756185,363.2375687958525,301.104826764983,238.9720847341135,473.1647277735447,262.86929320752483
5304,130390101,Fos-sur-Mer,H,746.3962629030185,751.8655531290244,691.2588150446802,1000.1737661232888,524.8193735005809,104.43050808381905,0.0,71.13821595217853,118.20530021006952,519.4986844198438,668.0744440983412,564.729765300002,470.69762957769575,659.2039953486361
5308,130390105,Fos-sur-Mer,H,788.6066532529237,641.1932817227591,800.5398542732252,867.2140226222942,671.2920476031643,215.40256732719882,2.74657207047429,115.5813959279044,174.2205028805723,589.031429805595,563.5535869301967,482.80367902488126,797.8767696635922,473.8277611439311
5309,130390106,Fos-sur-Mer,H,611.4649966680445,457.2961263736796,573.1883587680635,654.8565009304574,642.7003141050823,234.59449487130644,3.34560140916776,74.85249218829408,94.83739267751098,363.7224970417379,427.5979387275185,377.9703928105158,770.3032176152345,449.00628160398327
5310,130390107,Fos-sur-Mer,H,385.6383177178118,296.9373542611406,378.270884888244,388.7267877214719,422.03771728769465,165.58900788633994,0.0,34.23015485175073,37.06419463650981,275.41729806280995,291.2779425208163,224.713083614241,523.1052758618475,265.753802496916
5311,130390108,Fos-sur-Mer,H,432.8690670602704,470.9468512448592,451.311269001978,577.6423866812477,378.4154675165288,216.0455496369019,0.0,64.68122238619011,90.63074909348994,338.34569101474204,460.0158863737439,345.6249802631068,487.2268695261003,307.83612542414244
5312,130400101,Fuveau,H,713.8380140401613,574.6802966946823,734.2369550865875,815.1488451868385,501.16928767662745,209.3439203506458,5.11676103766307,159.18678702056124,456.0689248395664,420.99201631694143,459.7599694104811,259.85937616481226,618.0132825601005,491.3685675470209
5313,130400102,Fuveau,H,481.43306700465394,437.6850115017369,578.8202179039384,501.5602584554304,311.12760148430925,196.22643476186778,0.0,103.61808390436198,318.6958755623298,472.8256730518366,322.43870064384515,168.74032679299052,412.6814074407338,225.31620302507548
5314,130400103,Fuveau,H,759.0990154961543,613.5858856754089,787.1193814909993,877.255683618777,641.9602553954052,236.7098681757374,15.28132319293541,240.60424730075007,475.5969676204921,541.985775413371,342.5838057966773,228.2559820990731,854.4778946654237,532.6562043953369
5315,130410101,Gardanne,H,333.68084360950644,389.69012374073657,359.18557296154665,350.6010014576105,251.52685499464388,178.487787304092,3.13419592215525,36.14293620127735,120.8634631107487,227.5045481159241,334.14540437874297,164.22057709223537,362.8941904265605,280.5860252109854
5316,130410102,Gardanne,H,450.3815424097872,674.0079158534007,571.7970543282562,583.1536759492096,297.6844531215121,218.96687891687148,0.0,79.79658461558864,176.5439448369051,319.9346668987537,427.8125655468437,446.3165206075639,443.0894704712844,449.116221140013
5317,130410103,Gardanne,H,408.4664817144689,409.7037892473091,494.4751730100375,429.41959645268486,302.6004031909709,206.74563435688864,0.0,46.01966327631039,175.0001521644307,324.5033090860056,354.85338974851294,214.74087416848192,467.7758626107196,260.0513452034299
5318,130410104,Gardanne,H,677.3938038235347,454.5437240924098,542.9255433672535,515.3257307818087,388.97889517668136,178.08326375647698,0.0,41.166203508345845,123.9974271234777,320.48992602709484,367.9150666583597,336.46136724019823,507.4985339196716,382.3286326974824
5319,130410105,Gardanne,H,312.1039049423697,484.57247003108574,393.59607895623583,504.36403428777567,367.38386655253663,271.68748707847965,3.3821836550565,55.33696201713608,168.94029071062496,306.21870513767766,307.4701222414192,190.0515961540252,565.2473093043932,422.9567649842488
5320,130410106,Gardanne,H,598.9265463784493,586.6729269334514,575.0452224595879,773.5078501498406,510.39911205632416,348.70098318902285,11.16662441773728,65.2185072957739,197.17430376711727,405.2970487471624,455.8123151429567,263.80422369470347,702.6220710417248,690.2309966287534
5321,130410107,Gardanne,H,460.7649199061132,441.2853251358263,470.3261864882559,607.5188658349847,516.0614565329406,238.66355308814167,3.131424644186,82.6720690880701,149.6181098291241,357.7380384398158,384.5332043699597,201.38648989083987,675.8129722428504,418.9630785753032
5322,130410108,Gardanne,H,387.4424733217653,366.6805557571616,425.52759362548335,486.58828919089046,445.0466650815875,166.30788940399162,13.15790868218072,91.49107188710904,223.94539830925535,286.6394022163271,267.47368523017684,190.2719413056772,518.1295635120748,294.0420151624839
5323,130420101,Gémenos,H,610.2826808682014,552.0013812699528,576.488019002696,819.2290967276223,837.285043865158,587.1661393945501,9.94982932663908,159.19726922622527,457.69214902539767,407.9430023922023,328.3940218434719,192.45439943305632,1288.4542984801865,407.9430023922023
5324,130420102,Gémenos,H,420.8777805168335,324.3644360484344,407.9430023922027,537.2907836385109,524.3560055138801,254.7156307619607,0.0,114.42303725634942,308.44470912581147,348.2440264323678,198.9965865327816,119.39795191966896,716.3877115180138,298.4948797991724
5325,130430101,Gignac-la-Nerthe,H,573.6119103439197,506.3626599121151,646.5978897875522,676.294244397284,524.2257544982725,219.02014803922594,0.0,150.5351299614182,208.7125166759251,406.2547980544182,485.6030263145138,237.7269543997949,669.3279181648131,425.64763578111337
5326,130430102,Gignac-la-Nerthe,H,638.2657974672593,597.3116677707267,681.17986901892,804.8285448155162,671.7638394167242,334.2887472355124,0.0,107.76371461909484,227.3297275584494,531.1142658157192,590.4837662971516,299.3526547758853,936.267932805946,494.2557468198304
5327,130430103,Gignac-la-Nerthe,H,322.2041394073296,346.7271525328257,396.8077813486764,587.9947301539869,423.6982846466621,93.81683920747902,0.0,77.29670229936856,92.83918314684088,314.8662237753452,390.2903577618333,225.98622905892427,370.784649562448,289.7352796553818
5331,130470101,Istres,H,549.5476918189057,582.0051244411184,648.8023233909022,471.8685990636584,512.1819477803915,291.87338381209133,0.0,47.44403432703353,177.09763830968225,513.3245395134265,422.93462712475696,315.2677513294131,676.1326136590462,339.86069572960304
5332,130470102,Istres,H,437.994636915764,559.6136262375841,479.1564993634199,467.171022431646,330.674828980314,123.15135169197212,0.0,35.05598630463438,102.68657450008914,291.2540070395189,465.3445252885669,348.33001564355465,346.45698965124,368.639225539239
5333,130470103,Istres,H,386.9660370038191,424.8703911750275,459.7543579790432,544.2896551119167,500.5728283559373,315.9798215319469,0.0,51.24968653162286,95.56472891152212,318.38472486788265,366.1028422253994,347.8832824134348,676.2886085677076,389.9931806363014
5334,130470104,Istres,H,470.9036104862138,545.4277737130565,575.0993474170401,595.0641927556129,569.3629282755966,256.99563371750736,7.28545747251236,59.61928353362887,203.7721981935868,450.04306198308615,490.8086297235772,239.80570428684624,756.2761755967899,334.3393650887858
5335,130470105,Istres,H,255.5842551435145,159.14152475237665,245.27221965822508,276.1168284542396,477.74936306902646,291.1184345803971,0.0,28.79235288716534,62.68721090372647,182.52240171092564,206.8725790207357,99.89425186710184,636.5627298655703,236.0668537352254
5336,130470106,Istres,H,403.8919664821212,378.1597440769408,454.4815642753653,514.8220985163182,474.5863325346588,141.10547449550674,0.0,21.751555255916976,55.02104631321684,335.3150570091527,400.0175229511468,262.69957505128707,477.5065771102192,410.8438802078499
5337,130470107,Istres,H,422.7510427019027,363.9290148040935,337.50506295968927,334.1282658762645,282.33137875878055,74.10283056637445,0.0,12.59410741383542,24.41485264526853,118.49802770749162,322.66459244825535,212.55688060611396,274.4946730516376,426.7734190925998
5338,130470108,Istres,H,189.04683358300832,266.6346383483862,208.1276700116792,373.1257666949252,535.124813121088,170.0231068231479,0.0,28.21216408223931,106.21118963772146,247.62507459909529,204.2824581157265,111.69180700401942,628.4969638355622,220.51632351058308
5339,130470109,Istres,H,413.9600448568857,384.21259019735857,392.9706078873056,521.9880434220668,294.9714732048866,126.50600651064454,0.0,36.05510899129152,101.82646757378726,242.26071338111936,353.0976167144153,227.1112902910576,333.6105027923999,426.687021478191
5340,130470110,Istres,H,596.7816945192479,579.5325463344078,615.8028933381346,697.9421973508761,595.7074824027281,187.1014110117557,3.07064762898795,36.25689727984045,206.4322558779972,532.8052842904223,501.7843198011407,287.9522191008788,668.0954752946169,439.68943116401806
5341,130470111,Istres,H,559.4763195706607,410.5415436395083,456.9317785916035,391.2891249930419,311.19894388178886,45.52821285324997,0.0,29.25665000267586,57.90294075640501,227.11316562883923,398.98368221456855,269.11915349456336,325.8324229370782,303.2815794488762
5342,130470112,Istres,H,455.0217432569527,454.71331308312574,435.2561694685113,784.3726953152316,366.68525709840975,155.68491339816052,17.29640195376198,102.69666501264086,221.8559339286012,381.30725122517424,401.8236967976916,265.21660293058204,436.2983130442298,370.2174834707572
5343,130470113,Istres,H,695.5473252884562,971.4219907302364,963.8129034837964,513.3654840768112,256.8415957211279,58.27830849748869,8.1215638590746,42.70581290594208,102.13488746034425,540.5746292340648,1146.8014595040572,371.7814762370773,266.83314456664124,285.7673111113033
5344,130470114,Istres,H,581.9414417927368,381.16239271164847,611.9719444376292,682.1978445310322,607.9440898496505,260.2846839869954,7.03533799064442,52.20603412497541,203.32186712266292,386.4504351853971,436.95024114495766,250.21159678929575,769.1876928823809,438.19775027664144
5345,130470115,Istres,H,597.2889199676871,576.3189423742617,545.2295355664788,985.5273730202082,406.03516198757256,49.997287165599666,5.933960782505,64.20824766244898,246.8538944079091,555.1601718466469,531.7547654785092,266.39658689816764,367.96289406647054,521.1180209305417
5346,130470116,Istres,H,739.101620956926,643.6220572416125,780.5414771905432,712.8634905767,655.6788450425302,367.8145071249358,0.0,100.5469386300403,100.6042387268243,410.67859223564,578.7658030240613,511.9411313467651,827.1807858364934,634.1485319755346
5350,130500101,Lambesc,H,580.8453157143406,561.9981770531697,669.9500307424698,545.7096998863504,337.6070244523598,170.21319463347012,5.11974610825691,101.44446449734662,292.86440085311415,378.7013491067594,490.4274608761144,257.72195064729254,341.3228936365413,308.1383037955212
5351,130500102,Lambesc,H,772.1454044132226,595.0361523575692,769.4231379883524,921.3626901363816,853.3968105182702,535.7053164644826,9.99251360541742,125.85114059703312,442.38557067080336,654.559332043946,493.9910916095935,216.60599792762991,1140.8044205017975,557.9201507688899
5352,130500103,Lambesc,H,439.3745000255003,317.20221740583366,427.4535858268691,589.3998377682914,432.9112860395844,137.26561857347335,65.52560729644523,120.81273419179008,261.6111384762417,317.06592511807503,226.4723611016858,181.55054864121252,390.9507795116565,357.084519921382
5353,130510101,Lançon-Provence,H,550.3770730614075,470.0517705064994,607.8939563723294,585.0855371283432,380.8014343343793,209.24245480352613,0.0,89.25033617212014,322.2928806215449,376.8347527267295,426.41827282235175,223.12584043030037,480.9601449275363,307.41782459285827
5354,130510102,Lançon-Provence,H,418.4849096070522,267.8581289620287,490.3315137350327,442.3564128833964,348.0763110712685,133.8755042581802,0.0,69.41692813387122,282.6260645450471,272.70936052592265,218.16748842073807,168.67323536317272,337.16793665023164,283.16166677338845
5355,130510103,Lançon-Provence,H,837.9614896160168,598.9689227551174,877.6283056925147,961.9202898550726,526.5769834155088,177.5090019423278,19.83340803824892,208.25078440161369,446.2516808606007,659.4608172717766,446.2516808606007,292.5427685641716,609.8772971761543,505.7519049753475
5359,130540102,Marignane,H,415.2833436076841,290.2474506484552,460.5704968901493,428.458655533556,406.1608288411126,237.4031269040466,3.15321368400805,66.16187603577514,113.7342917229184,288.1605105820446,258.6100323603952,237.5517872670376,556.1671790371533,299.3016681279872
5360,130540103,Marignane,H,481.5307610891068,408.0767398170638,537.0902524776035,320.1993597443238,226.54879029454924,167.0686189324898,0.0,88.94976859218298,84.11409123852181,176.49273814702002,307.0182108798789,271.5797699995785,324.30660381517936,406.5225785936685
5361,130540104,Marignane,H,495.2165783807785,296.92451156869964,551.6223154489074,394.1394051791551,369.3693233207552,333.00008171516794,0.0,66.41987767117519,56.32292367238372,268.99108098834154,385.87105796104754,292.4486273691487,606.7833331118103,268.2187364587783
5362,130540105,Marignane,H,412.5471653764715,366.284418001667,461.42099002247306,477.40036029697166,401.9185747069747,227.0742137332854,0.0,49.81763723731662,115.1245358179558,354.3435339701168,373.63103223252085,243.75474593985984,533.6014843052975,263.8255872583044
5363,130540106,Marignane,H,299.04264653884934,239.03773366961107,245.5738227732689,298.1027918517536,231.8761876130918,351.03232163780956,3.28502159318722,28.25727703285414,31.36321356639624,144.22900928931736,199.0838115683092,180.78699344592263,515.4083614352626,261.14854523357224
5364,130540107,Marignane,H,381.9116703756,404.8918434478916,439.53897895556617,348.2582499374683,291.0934239705088,257.0783399733232,0.0,63.29814324934384,124.22005506885236,268.76079199490664,315.871612447212,182.85389137907123,487.8651896861314,297.2882730591777
5365,130540108,Marignane,H,866.5879825226034,839.9195527375161,799.8554066591989,851.4379168759767,399.3443609332318,75.83487322868856,11.43413148120121,94.98260841759044,161.34082479796817,499.4351189337139,604.2067359917444,467.0835695186365,378.2179228025242,749.1800828360174
5366,130540109,Marignane,H,392.7626182828083,400.16777184065785,404.860054772444,638.7914910059317,503.2236462008276,272.65095299223447,2.830520822576,76.17308284379789,165.37545634835956,349.9159336472392,360.96090487551976,245.4752850584568,662.197657984086,352.652044314625
5367,130540110,Marignane,H,293.24818731692744,262.77973953168936,327.01890554830715,310.15150934108306,296.74061419687393,239.4134702798602,0.0,53.00004981634586,49.844961753801,220.3826925270597,293.03130656130526,161.31773696009165,470.2347112223784,188.29278005683184
5368,130540111,Marignane,H,606.3180280269498,466.9932399843749,536.1705542004511,437.4193143381971,289.53076902090515,179.45752454769985,0.0,48.2831490814232,29.78315436324213,114.52403494277674,389.12885962569374,422.91906365755176,384.3219117405789,520.6112286803616
5369,130540112,Marignane,H,395.4552910511529,278.67876138995365,259.85545462509816,339.5379245081289,223.4826916965296,147.45167307353,0.0,25.62016986251818,30.87294438602288,68.47504418765791,276.9722210012147,208.80256892817584,303.92293998268485,334.3406169449659
5370,130540113,Marignane,H,245.2951593935041,175.27901161115665,239.67644797577208,341.76010247698446,390.11558276653926,260.2999306046062,0.0,39.69197023435499,105.92647618215764,236.4535954489677,145.76492903911011,111.73501161640948,563.8882681608085,203.67082475325017
5371,130540114,Marignane,H,449.50934635561225,355.32979883637034,488.6053960134996,564.6049054798794,452.9514453439714,175.11345992579368,0.0,106.35310979286136,198.90384997334488,310.8062347188982,319.47115022415244,172.9256187412326,557.334543786075,369.8557355444208
5372,130540115,Marignane,H,701.2496583477317,473.6086647039159,610.2403571181638,508.1119298662404,312.0581881756072,155.1069359857257,2.78460014454261,78.52004730818597,134.61136361473217,281.7294359193951,308.2054464928348,348.83150680072634,349.065657595203,555.378017974033
5373,130560101,Martigues,H,848.4981771363801,688.1361832788971,916.697495006426,1232.8263649289072,998.8064364913682,477.91500399163016,11.39954058491024,215.93640653276063,483.1971467778701,718.0248600301202,633.9837336182388,340.59431711843496,1295.7763979070253,615.4690811278683
5374,130560102,Martigues,H,347.2230325990876,285.7899665045778,357.00010687812863,525.818035275617,424.79697945172575,170.2878477849176,11.92964931257141,98.62554117720202,138.17661205972323,289.7443526381608,302.307409614798,185.08861259144663,494.16676567078434,243.6539928302804
5375,130560103,Martigues,H,211.7940581324747,181.12350964377453,247.26383107298383,361.4968965938596,325.4501361378569,149.36276665372134,0.0,40.42271996219777,60.29739829396067,147.87505065242615,209.67059668363856,80.15145264907652,410.5207235058701,315.7591983550264
5376,130560104,Martigues,H,528.2947014250267,391.2742601282868,655.3811955172282,668.2096861089861,598.8769939718927,429.4549180335979,0.0,114.21553042498044,305.458324477179,526.7501749865279,337.0820205877532,190.4440072087069,851.3905689089974,426.86647055501606
5377,130560105,Martigues,H,229.4335083323797,210.99901537647355,270.2890769030438,294.75485944109164,328.58916433009995,121.89879938510947,0.0,11.13059311553274,57.35854509533108,86.66031886860922,167.37352455029787,182.0155895178938,398.30768051981926,320.6846829537795
5378,130560106,Martigues,H,553.9842511229987,725.7989537484724,700.4124646563828,568.113341766469,453.59421076210486,407.2627253007272,0.0,23.48374932531904,257.5567635244471,428.90853335719504,578.236590599602,340.76910427748294,707.1537985707375,516.0731757648176
5379,130560107,Martigues,H,423.0255184026635,366.10326585411457,525.2213341706364,362.1651516056559,238.78851774200103,333.19268812008744,0.0,53.49362691419991,123.35827991012118,298.08141325820725,345.0867378171656,231.9424939136282,467.4198664612402,306.088539217933
5380,130560108,Martigues,H,472.927420083928,595.6544076584191,688.2689364492884,539.0453554186706,454.4535068029416,306.0731405818946,3.68022402205249,64.30263039270436,125.9863081784584,362.4480422972471,519.8475720458672,381.06163973114434,627.7429131287977,499.4260107197945
5381,130560109,Martigues,H,294.6425047794246,344.21203938412566,325.3319257773052,335.8193284080984,325.90499016179126,123.84826755880029,0.0,11.459919023983726,25.6175137676595,129.89439194615704,304.2914701293715,255.4821004001472,375.2300494451761,353.1411065776256
5382,130560110,Martigues,H,343.35702363166547,279.2085925469465,433.4985868681793,326.46397339454734,277.39122794121295,179.5865814796937,0.0,23.41436657903856,56.66512808413435,240.80884844542436,335.4120703032601,197.6223105411,369.6468119986004,267.2461270531461
5383,130560111,Martigues,H,408.1888670984735,386.944940100457,396.7155064340928,594.6604869478159,550.3119315110399,396.69599217769456,6.96068605916746,69.85231708761546,161.02231513418454,355.77196420438,310.2537832776617,225.68527365246456,815.4407022010687,378.0084971432372
5384,130560112,Martigues,H,345.5640409641267,297.1015638034963,229.63567618201324,347.82398921182164,195.85720267304904,137.12426787188934,0.0,23.70138852343297,15.159623316541692,85.77696015288427,198.90197787079092,259.7021492207176,249.5513846598405,374.7492159980616
5385,130560113,Martigues,H,248.96284722374995,241.51285112342268,342.39307484168785,344.39750216322653,323.7896123887216,173.48861498081527,0.0,45.81691524720486,71.71494530847728,296.5010483422461,244.75139895944133,163.36420460581067,452.6489251692489,150.78421786544476
5386,130560114,Martigues,H,529.8727682786516,923.6815193926388,617.5740487517056,1143.3819929321,872.8367508492148,472.39058061177354,0.0,68.5912677102793,293.41885579257263,625.817360200352,756.0764255822475,401.7667879959618,1204.615926563186,678.6972906011802
5387,130560115,Martigues,H,393.7280333447145,484.020368549244,338.4432965616237,618.1348622702019,485.27181618643874,302.7464066933409,1.0731130417727,34.22308009678136,204.19609364776449,340.62700442058406,347.27611539558853,197.73166614831703,686.252354157544,417.2373233524971
5388,130560116,Martigues,H,572.2511989998466,369.2094275164322,385.78920226209857,421.8429205643229,226.7703403826127,50.465271577960785,0.0,20.82547143985596,30.14874062377973,105.99440089866994,308.763096906668,330.7256067414479,224.3297735784216,433.29007211458406
5389,130560117,Martigues,H,522.4378102150185,327.34855914454414,583.1039742948866,476.2277292841989,374.33424061047634,123.46442499805522,0.0,39.081248743679296,136.3018552976444,331.67267322199166,374.0017521571788,275.0871890226153,442.67030288116905,285.6639070078828
5390,130560118,Martigues,H,450.846224905678,466.9291406353004,395.8524065530732,425.5601163701925,363.4088121587572,227.17287778291958,4.04400734638633,48.4857488362051,88.86880482732377,273.39533116946086,318.4515138563109,227.16696085090277,474.8843792077731,443.62660740588007
5391,130560119,Martigues,H,492.6856237212305,503.5343581968894,495.4911379895148,478.1389695222957,568.0281642879212,440.4538690859363,0.0,39.25148908866027,128.1510925188446,283.8221936911945,357.8521815595271,339.07129556621913,818.5654233314368,518.9328233266749
5399,130630101,Miramas,H,686.4334316810272,777.510016491271,852.2176816601944,897.2177196378667,539.7939740873938,246.7061039223407,0.0,86.3261882028304,228.01634455294533,670.8395455764362,624.8196489306856,514.3672933449434,703.6124158340731,479.3527086359828
5400,130630102,Miramas,H,754.6656850752366,429.0465829564813,576.8185618869037,362.2418431398007,344.7328904597493,92.53647330943204,0.0,21.04259102694311,20.88535926581549,140.35163422628224,279.43968909396693,450.35501891139694,294.83063022519315,598.4714290027692
5401,130630103,Miramas,H,686.6834644565641,513.1242468992799,506.4495354720714,518.0931498018646,448.4289606079028,152.11150261871447,6.19387941719104,35.58191837500147,24.72890133477021,97.7627498310014,291.7838197144806,459.0127823956817,444.4811096627386,774.6319891463477
5402,130630104,Miramas,H,581.620439157988,653.8918398721202,589.2358394435448,397.8124412149653,436.2960837655508,333.0260732358009,3.1245880824043,50.10291561041006,79.03131848151293,375.99698639741786,446.78774057688025,355.52219166700905,635.8424840731344,470.0080787552997
5403,130630105,Miramas,H,369.371265987018,335.1104298876333,377.4738337028999,353.1247864581173,442.6300189721711,193.00413751907382,12.51230564282304,3.45134882138965,9.47065433246296,139.716897445017,301.86633615332954,366.3375798122696,461.5238359640964,406.4642483685071
5404,130630106,Miramas,H,635.1068982616156,577.4609786150921,521.3278587503276,597.9001868964829,459.84699509213016,344.29345070952417,4.62383811340414,43.12272258663597,75.44322295289057,246.98949547051927,424.7589412823184,480.1254306352619,662.960793566079,562.8050254564477
5405,130630107,Miramas,H,624.8514090998841,482.9569376233629,576.3993598044888,446.2528543487304,448.28665091811087,292.9874776371844,4.46227047799086,34.44518514909079,60.05024226797353,193.02978423443528,391.5421833507058,437.01975486632927,579.6730833360388,545.3274623410773
5406,130630108,Miramas,H,430.9137377414588,200.1091936853014,378.6563277557493,318.64781506566874,478.8948154528184,171.3913284265854,0.0,32.98713394593354,67.70792110454516,215.32366824026525,241.51605409183705,186.67555654094647,550.4171364475498,253.0720100150461
5407,130630109,Miramas,H,612.3505023351745,470.6904746405386,631.0620435436044,795.1689192274692,489.51534360913945,150.54226272865282,8.117114927395953,182.5865816102242,184.1091842864632,335.2907763334186,457.9441234612253,345.6382480964828,544.2526660273788,472.2719270670918
5414,130690101,Pélissanne,H,544.7478585707271,607.0192681935398,644.6010120676649,659.9054544827385,442.6930686812929,305.9069744004342,10.21645433920229,81.51324694905857,238.52317140414152,571.1496328173903,392.7759561022061,320.76140084339767,589.3438875285215,441.8135300133768
5415,130690102,Pélissanne,H,541.5317350245867,385.5564901031748,518.0158104596114,825.8240011843204,586.8236866481109,328.0447797979968,5.08031965087797,116.80002876643276,481.0785996618917,338.68563168799824,299.47976745346585,167.82649201644622,837.3836743943085,470.6995178155046
5416,130690103,Pélissanne,H,724.5977682945821,501.0551511301008,741.2118382494273,827.5307229611434,638.7530325898828,393.1813471606302,5.08031965087797,86.48131664810944,451.0271000068292,573.3450081921134,396.9747466947972,197.98441150579015,873.7867706488514,465.82158379561866
5417,130700101,La Penne-sur-Huveaune,H,323.0,298.0,291.0,426.0,325.0,277.0,0.0,25.0,100.0,185.0,335.0,200.0,495.0,330.0
5418,130700102,La Penne-sur-Huveaune,H,399.0,346.0,392.0,560.0,388.0,331.0,10.0,65.0,210.0,400.0,235.0,155.0,675.0,275.0
5419,130700103,La Penne-sur-Huveaune,H,344.0,373.0,383.0,462.0,321.0,194.0,0.0,100.0,225.0,250.0,210.0,115.0,445.0,305.0
5421,130710102,Les Pennes-Mirabeau,H,363.1522798621275,309.3062930659929,400.7992286561592,595.4757911247748,526.903593389629,332.01768790960233,0.0,134.75352287860463,212.1464370533929,281.1657323273743,314.11405273527737,163.52649481228596,753.4795045182786,305.3168498209443
5422,130710103,Les Pennes-Mirabeau,H,556.0283682054506,488.1080965397166,537.5896307985118,562.6100629083528,556.8898878482134,250.5335749155146,0.0,101.0730266189083,301.44062153492933,442.7420464284512,383.5159167164595,178.23624210716915,690.6153950489468,298.10800455544506
5423,130710104,Les Pennes-Mirabeau,H,561.0633941703474,443.3843260110389,634.6142666270009,541.2973044681197,491.49317688880126,252.5819304215267,18.31201956509229,76.35682077170213,181.45593400060872,462.72418695529376,426.2052232518225,239.7480723489609,630.0862332318796,325.4824780839592
5424,130710105,Les Pennes-Mirabeau,H,354.3398541986113,336.0464449582068,399.4489412030108,466.2615110316114,426.3202143883452,308.39296213682746,1.08848628468562,73.9913149047534,155.69797409918203,331.54012333134443,283.3214119444166,207.1704372849428,600.1683067065702,283.49201916210666
5425,130710106,Les Pennes-Mirabeau,H,311.4436219105164,155.3194951180615,295.7205357032637,240.18429395605855,212.5664659093344,240.8913799892501,0.0,34.24831156437046,87.02513956500277,209.7478754904544,184.36566498384173,103.82081545152094,365.44904903760505,160.02531458317293
5426,130710107,Les Pennes-Mirabeau,H,643.4640613059986,545.322355899257,636.1796867007356,883.6070412583388,796.3890364625395,325.2160380469774,0.0,115.88937877939048,311.8919151176556,527.674598975058,588.4543813022441,235.34264467566703,993.048586275392,407.4125687590482
5427,130710108,Les Pennes-Mirabeau,H,353.4554826859273,324.0454453897036,398.2709017494255,421.6877585035999,510.219645311832,315.14454277122667,0.0,42.95898370241066,166.0045311167141,378.6717181490522,266.5485849670887,150.59299309587462,737.8556660687317,226.7358166259156
5428,130710109,Les Pennes-Mirabeau,H,358.23718130858566,259.491024733396,384.9778111477252,465.19104925066176,351.3535354787554,291.2653831740275,0.0,42.36783633514974,86.78404509845932,290.7864385008138,321.20246009654886,170.24883579943628,594.4720776599379,246.41711029421995
5432,130750101,Plan-de-Cuques,H,241.450113040871,292.13181246702385,258.6354008487237,350.5215369320469,350.62870202761195,261.617492903264,0.0,52.20611272105259,128.2151632515179,186.05264660359256,236.0263921702092,109.7057544502918,555.2387422462226,246.09013373578367
