,IRIS,LIBCOM,TYP_IRIS,P16_RPMAISON,P16_RPAPPART,P16_RP_LOCHLMV
1310,028100102,Villers-Cotterêts,H,460.4528765273247,520.8036928028009,276.7855068984082
1311,028100202,Villers-Cotterêts,H,531.8234901737115,825.8591180236277,378.9100986575029
1312,028100302,Villers-Cotterêts,H,909.2703736279584,248.15675869349408,241.728702437441
1313,028100401,Villers-Cotterêts,H,226.68199938509943,781.7682470002336,824.0840498052743
1358,030230101,Bellerive-sur-Allier,H,686.0861972664173,368.16820062496623,365.3047743666534
1359,030230102,Bellerive-sur-Allier,H,810.969662929163,159.49376421316146,55.29738879147062
1360,030230103,Bellerive-sur-Allier,H,581.8124027143339,224.3789271448458,132.5865627962096
1361,030230104,Bellerive-sur-Allier,H,864.2902859473746,354.71548449359284,28.88207941928989
1420,030820101,Commentry,H,881.0,68.0,63.0
1421,030820102,Commentry,H,711.0,491.0,231.0
1422,030820103,Commentry,H,575.0,523.0,498.0
1435,030950101,Cusset,H,315.0788144997005,854.1115053792203,313.19696165154204
1436,030950102,Cusset,H,605.8093234783648,246.3117729834203,210.77303465493733
1437,030950103,Cusset,H,470.2248320159069,956.9237856644444,601.1780921720053
1440,030950111,Cusset,H,804.6328074962148,178.84069011004576,168.84506948909592
1446,031010101,Domérat,H,1288.4806641930893,38.3416329203895,10.0899034001025
1447,031010102,Domérat,H,1243.076098892628,216.93292310220372,289.58022758294175
1448,031010103,Domérat,H,1199.6895142721874,116.03388910117874,67.60235278068674
1465,031180101,Gannat,H,1052.887592116142,428.3611116213962,147.12402665501227
1466,031180102,Gannat,H,1036.8740926162768,157.13246384242805,95.0801532804501
1531,031850101,Montluçon,H,363.3802911039671,1314.0394496442525,55.89904793106753
1532,031850102,Montluçon,H,395.59563866021534,1072.875474520651,83.00023279271277
1533,031850103,Montluçon,H,420.08660088458095,535.4301178733091,134.69191265906818
1534,031850104,Montluçon,H,508.50865382646833,330.9276588629308,0.0
1535,031850105,Montluçon,H,397.89559458048086,424.1719466058103,236.73308543372104
1536,031850106,Montluçon,H,410.38916682344296,1417.1726857700962,253.15456339493892
1538,031850108,Montluçon,H,679.1226511908546,731.258965704649,21.44893764679803
1540,031850110,Montluçon,H,1008.2272531459556,496.7509204704368,263.4036262136065
1541,031850111,Montluçon,H,754.303315793177,236.504337056278,20.74264527569126
1542,031850112,Montluçon,H,856.7447430171728,168.29322211318814,94.17942017800137
1543,031850113,Montluçon,H,629.840909082085,971.8393567998644,598.6241703475503
1544,031850114,Montluçon,H,606.1653027251227,432.1475241012827,198.88835378986653
1545,031850115,Montluçon,H,263.73329695813493,886.8044411024108,810.008803032134
1546,031850116,Montluçon,H,438.0111938434383,360.0300912936421,137.96644884404176
1547,031850117,Montluçon,H,468.2304608835509,647.1919713510162,630.1203947185388
1552,031900101,Moulins,H,145.440807247992,1223.411774509551,61.42385771781819
1553,031900102,Moulins,H,362.74886334580447,1662.886650851277,354.143765697954
1554,031900103,Moulins,H,277.8879613353475,556.5032082626954,258.5431043464699
1555,031900104,Moulins,H,341.2195091176759,565.7877164589285,457.40377931892994
1556,031900105,Moulins,H,493.1377260525669,607.5011241923389,27.79952755368293
1557,031900106,Moulins,H,484.42659090611687,686.3605747019733,34.05911188059218
1558,031900107,Moulins,H,313.42713004956937,795.5877763302077,654.218418438753
1559,031900108,Moulins,H,340.6214813342651,1078.6575979278757,964.7299915417964
1560,031900109,Moulins,H,682.6919875738013,216.32349257605267,130.3524395581966
1623,032540101,Saint-Pourçain-sur-Sioule,H,603.0,386.0,91.0
1624,032540102,Saint-Pourçain-sur-Sioule,H,1179.0,244.0,86.0
1680,033100101,Vichy,H,174.2308537382948,1663.1824132930117,27.76396353714782
1681,033100102,Vichy,H,282.7657723653448,1724.650913739004,82.12624011187891
1682,033100103,Vichy,H,552.0837681937188,992.6081745678092,133.337096110939
1683,033100104,Vichy,H,400.4331738334108,515.6125913161342,171.91498030258148
1684,033100105,Vichy,H,540.5870875639117,1036.9010854856929,261.9505981506867
1685,033100106,Vichy,H,141.56258193014193,1439.213585253573,0.0
1686,033100107,Vichy,H,491.7244629701154,1605.499950555109,49.03366485069887
1687,033100108,Vichy,H,403.4767934546034,543.5990718488671,0.0
1688,033100109,Vichy,H,3.0326064242151,981.9746482192176,576.3015202842839
1689,033100110,Vichy,H,764.1376443529714,301.4534149813421,88.59929888152467
1699,033210101,Yzeure,H,909.3135485199252,368.2383102129554,107.24584805822964
1700,033210102,Yzeure,H,1601.9915304187334,190.99465434429123,188.48342367149047
1701,033210103,Yzeure,H,935.3135768546846,419.05710949781314,337.4439697191226
1702,033210104,Yzeure,H,665.6029465212739,107.36614953773284,46.72464448316343
1743,040490101,Château-Arnoux-Saint-Auban,H,815.8503067736228,491.7178970714332,255.8940076596234
1744,040490102,Château-Arnoux-Saint-Auban,H,922.2219334870348,308.0763151039388,153.53640459577403
1761,040700101,Digne-les-Bains,H,328.7709388317088,774.4622282881614,309.71473725916263
1762,040700102,Digne-les-Bains,H,254.9854801704118,531.9812443031826,128.73304327852628
1763,040700103,Digne-les-Bains,H,672.80478029503,279.1090898664155,112.37353562661308
1764,040700104,Digne-les-Bains,H,369.2917135975875,599.8347464035611,317.1805313904818
1765,040700105,Digne-les-Bains,H,751.0955861912333,383.06231864095344,205.95602517363497
1766,040700106,Digne-les-Bains,H,588.674043592757,237.85012890179888,0.0
1767,040700107,Digne-les-Bains,H,42.85189172753827,1201.755174497218,127.85722980124228
1768,040700108,Digne-les-Bains,H,138.03258327213865,1063.0948353728302,153.6115978969651
1801,041120101,Manosque,H,214.83312207072717,911.9869885923048,23.42292929616922
1802,041120102,Manosque,H,181.33516413352547,851.0281156274694,119.55553931438132
1803,041120103,Manosque,H,249.80774092526795,1627.5005266153032,272.9190162993804
1804,041120104,Manosque,H,560.7075745230084,372.1218118818214,33.24406622213864
1805,041120105,Manosque,H,419.4110800024592,395.6947953785837,21.29989753689413
1806,041120106,Manosque,H,585.5960117414282,765.7069140456482,249.78749766554208
1807,041120107,Manosque,H,274.469015543541,481.58407701633325,289.02324536209903
1808,041120108,Manosque,H,1029.795868030396,50.96868318829575,40.60637632088057
1894,042090101,Sisteron,H,292.5309851408355,980.2693939156476,231.506309432648
1895,042090102,Sisteron,H,318.6844175872016,707.1113216980461,192.7604835861797
1896,042090103,Sisteron,H,1117.81707567061,164.66975984749018,129.79851658566875
1941,050230101,Briançon,H,13.33603781897225,277.70474657178494,87.6249248986605
1942,050230102,Briançon,H,83.71336940466345,824.9663823210037,293.17788554421213
1943,050230103,Briançon,H,193.94194295933488,1196.8878339527682,184.2808057307388
1944,050230104,Briançon,H,397.5368466101543,807.9665906407973,51.96326230717364
1945,050230105,Briançon,H,618.6303081473193,725.1840401391793,218.55744846523632
1967,050460101,Embrun,H,107.6491940654104,648.1688158423647,191.29645669579023
1968,050460102,Embrun,H,246.21066975427163,887.6678465908523,306.00769447757085
1969,050460103,Embrun,H,752.411227342506,445.8099361535975,33.98757831358573
1984,050610101,Gap,H,35.46422907441755,1467.35398716514,40.60007435749916
1985,050610102,Gap,H,127.51152324084724,1360.8297965826337,133.27825836394848
1986,050610103,Gap,H,644.2934191365819,1112.095880497532,129.35899522700632
1987,050610104,Gap,H,1156.1938225406518,154.36217403425917,100.1099311494131
1988,050610105,Gap,H,131.49023324968178,1092.3930727535735,232.69363880160748
1989,050610106,Gap,H,301.35352532824515,764.0940685022014,526.1014006987792
1990,050610107,Gap,H,361.226719247722,598.5471382361909,344.14571295723385
1991,050610108,Gap,H,481.4869574388032,373.3592105590015,295.8357578624758
1992,050610109,Gap,H,729.6520355928158,307.0259017094901,160.548107971374
1993,050610110,Gap,H,80.85213080866973,900.6909654128301,297.94448465496214
1994,050610111,Gap,H,32.55565845119553,971.655511067062,231.72495275128415
1995,050610112,Gap,H,144.9590979952711,962.7740061344198,0.0
1996,050610113,Gap,H,367.74164536631497,848.3817953351036,201.59968128016683
1997,050610114,Gap,H,496.58430122433,565.2644347536119,104.11015510147408
1998,050610115,Gap,H,314.15688895900433,686.3843039217418,418.0001941071707
1999,050610116,Gap,H,538.6111075206786,524.341240537131,227.09863135545385
2004,050610201,Gap,H,570.4551324372587,109.84721673896604,0.0
2120,060040102,Antibes,H,212.85764654444836,814.3339653484169,148.4796558507985
2121,060040103,Antibes,H,347.1346328158724,84.89497875883976,0.0
2122,060040104,Antibes,H,779.298974907725,61.22546440146545,0.0
2123,060040105,Antibes,H,646.5086023001762,1345.1172017186927,143.41319829908437
2124,060040106,Antibes,H,272.4324720572841,1003.0443151623692,230.46563869552915
2125,060040107,Antibes,H,310.3297115538029,1328.5000374279205,84.49325400157616
2126,060040108,Antibes,H,25.846337760974382,973.8763316111553,223.50644080685228
2127,060040109,Antibes,H,345.58017583971025,2577.6710608373924,741.8225692367205
2128,060040110,Antibes,H,320.62529932878635,402.4216679085488,0.0
2129,060040111,Antibes,H,227.8454572651376,1368.9458196778428,24.90521812139672
2130,060040112,Antibes,H,150.32275380102968,992.3976547650092,29.91135282015608
2132,060040114,Antibes,H,24.930514126709166,1183.9350802661093,122.74011265715096
2133,060040115,Antibes,H,206.4320499890313,993.7977193265232,0.0
2134,060040116,Antibes,H,56.56649571085313,1947.2032277039848,165.8835553730866
2135,060040117,Antibes,H,419.98610228650847,1499.43973914035,108.89160242272928
2136,060040118,Antibes,H,364.55691645437287,1000.0856081337976,0.0
2137,060040119,Antibes,H,358.4131723351346,1070.569964796346,110.74215373653836
2138,060040120,Antibes,H,113.8423645447269,858.8430008638234,175.95105558168785
2139,060040121,Antibes,H,108.23450410255,577.9410225172771,0.0
2140,060040122,Antibes,H,729.2499192081345,555.6590544405607,0.0
2141,060040123,Antibes,H,34.9049953851597,2388.0822614536373,19.724410119624448
2142,060040124,Antibes,H,235.1284060222836,1905.9511015189692,5.16866710999045
2143,060040125,Antibes,H,89.19669571001961,2258.174482634008,129.52958731961618
2144,060040126,Antibes,H,101.90981035998854,2358.243715202434,489.1062576548277
2152,060120101,Beausoleil,H,166.8737163598992,961.14692092624,181.00106502580647
2153,060120102,Beausoleil,H,84.70384077338824,999.951419367072,108.79935891555868
2154,060120103,Beausoleil,H,27.48242675018548,1155.0796252485284,122.26706628369404
2155,060120104,Beausoleil,H,39.21487688469526,1210.3998414202683,50.95747821645541
2156,060120105,Beausoleil,H,168.02497231357572,1421.932216617159,11.788434809815548
2162,060180101,Biot,H,740.3166300234665,813.9448507206232,77.66264374905575
2163,060180102,Biot,H,1049.9585992567147,95.81754748260126,69.59379764525775
2164,060180103,Biot,H,919.848455832972,611.2150923626986,107.92081663829823
2173,060270101,Cagnes-sur-Mer,H,333.168761712946,1765.088083924113,118.39559129879449
2174,060270102,Cagnes-sur-Mer,H,97.24191784645438,1860.659277144004,216.48953162580807
2175,060270103,Cagnes-sur-Mer,H,461.698306327455,702.710920845562,96.31994149194136
2176,060270104,Cagnes-sur-Mer,H,610.7523098825438,517.0394452107657,80.43431818038998
2177,060270105,Cagnes-sur-Mer,H,155.89222403531062,1174.3951089577986,69.52796537364404
2179,060270107,Cagnes-sur-Mer,H,69.33053381205339,2305.5888198124053,2.8008587669748
2180,060270108,Cagnes-sur-Mer,H,169.9504209174154,881.0483109542026,0.0
2181,060270109,Cagnes-sur-Mer,H,153.18213145294612,1461.876601880189,13.81174277723474
2182,060270110,Cagnes-sur-Mer,H,517.1386930148097,1062.490714501966,25.68926639267064
2183,060270111,Cagnes-sur-Mer,H,381.739610245874,693.104092443022,261.944222624146
2184,060270112,Cagnes-sur-Mer,H,871.8974437712263,451.217397089753,17.956251469450557
2185,060270113,Cagnes-sur-Mer,H,654.8873570485874,1596.110915335903,58.37443907852217
2186,060270114,Cagnes-sur-Mer,H,713.1210314561457,1243.033829023059,154.3831834870205
2187,060270115,Cagnes-sur-Mer,H,719.385264236773,171.2627384805524,0.0
2188,060270116,Cagnes-sur-Mer,H,86.85492080990306,749.3250824520827,0.0
2189,060270117,Cagnes-sur-Mer,H,157.7820056483493,1577.707272299414,15.86389480264278
2191,060290101,Cannes,H,55.26850691623281,1139.837626393656,0.0
2192,060290102,Cannes,H,68.41952951327376,1736.4335759598878,5.75425740114924
2193,060290103,Cannes,H,129.44191728975545,1671.5958085193272,0.0
2194,060290104,Cannes,H,218.30726197031652,1094.597513541285,49.21410552642553
